candidato,periodo_2d,mean,std,n,se,ci95,media_movil_2
kast,2025-10-01,0.4869270833333333,0.20773873704224693,48,0.029984503938113537,0.05876962771870253,0.49158854166666666
kast,2025-10-03,0.425,0.20575065816014623,16,0.05143766454003656,0.10081782249847165,0.45596354166666664
kast,2025-10-05,0.4128448275862069,0.2133070014024168,29,0.03961011576095466,0.07763582689147114,0.41892241379310347
kast,2025-10-07,0.3683823529411765,0.1937559297005324,17,0.04699271551441442,0.09210572240825225,0.3906135902636917
kast,2025-10-09,0.5351315789473684,0.2146710559919566,19,0.04924891785116317,0.09652787898827982,0.45175696594427245
kast,2025-10-11,0.47062499999999996,0.18530223863423007,36,0.030883706439038344,0.06053206462051516,0.5028782894736842
kast,2025-10-13,0.47115384615384615,0.17981980464281402,52,0.02493652023013783,0.048875579651070145,0.47088942307692305
kast,2025-10-15,0.45,0.2386822799648746,27,0.04593442619617132,0.09003147534449579,0.4605769230769231
kast,2025-10-17,0.4131481481481481,0.15999037319685683,27,0.030790161677651324,0.060348716888196596,0.43157407407407405
kast,2025-10-19,0.46461206896551727,0.17715020000145798,58,0.023260960842577862,0.04559148325145261,0.4388801085568327
kast,2025-10-21,0.4157866666666667,0.19282175940723315,75,0.02226513893987666,0.04363967232215825,0.440199367816092
kast,2025-10-23,0.3977027027027027,0.15824271351749938,37,0.02601494185072867,0.05098928602742819,0.4067446846846847
kast,2025-10-25,0.3921691176470588,0.19980069566262662,68,0.024229393302614644,0.0474896108731247,0.3949359101748807
kast,2025-10-27,0.41328947368421054,0.20424474030010187,38,0.03313287202996605,0.06494042917873345,0.40272929566563465
kast,2025-10-29,0.4158098591549296,0.16300403952481804,71,0.019345020431955996,0.03791624004663375,0.41454966641957003
kast,2025-10-31,0.35330357142857144,0.1374739934520758,28,0.025980142743793892,0.050921079777836026,0.3845567152917505
kast,2025-11-02,0.48200000000000004,0.19287301521985914,50,0.027276363393971718,0.05346167225218457,0.41765178571428574
kast,2025-11-04,0.3305882352941176,0.14389538683690026,17,0.03489975758633252,0.06840352486921174,0.4062941176470588
kast,2025-11-06,0.39276119402985077,0.1889971211543004,67,0.023089673276362178,0.04525575962166987,0.3616747146619842
kast,2025-11-08,0.4685344827586207,0.19488036307265555,29,0.036188374924843426,0.07092921485269311,0.4306478383942357
kast,2025-11-10,0.4624193548387097,0.19583102019779217,62,0.024870564435696477,0.04874630629396509,0.4654769187986652
kast,2025-11-12,0.404005376344086,0.18464203756457553,93,0.019146487377106544,0.03752711525912883,0.43321236559139786
kast,2025-11-14,0.35343749999999996,0.16769619919473125,40,0.026515097220432257,0.05196959055204722,0.37872143817204296
kast,2025-11-16,0.4067947103274559,0.20044900683374717,397,0.01006024727157981,0.01971808465229643,0.38011610516372796
kast,2025-11-18,0.4234882005899705,0.19328305693218023,339,0.010497694661526051,0.02057548153659106,0.41514145545871317
kast,2025-11-20,0.4285576923076923,0.19877876655826235,182,0.014734462487804852,0.02887954647609751,0.42602294644883143
kast,2025-11-22,0.4384090909090909,0.20029172066632608,143,0.016749235107778728,0.03282850081124631,0.4334833916083916
kast,2025-11-24,0.44003205128205125,0.1906284147614798,156,0.01526248805927309,0.029914476596175254,0.4392205710955711
kast,2025-11-26,0.4229122807017544,0.18727846355636735,285,0.011093418771606127,0.021743100792348008,0.43147216599190286
kast,2025-11-28,0.3932278481012658,0.18265586595668612,79,0.020550390482103317,0.0402787653449225,0.4080700644015101
kast,2025-11-30,0.4396666666666667,0.18103182737442197,75,0.020903754853302474,0.04097135951247285,0.41644725738396626
kast,2025-12-02,0.4883011049723757,0.19451126559460946,181,0.014457908509560106,0.028337500678737807,0.4639838858195212
kast,2025-12-04,0.434140625,0.19883917971086335,192,0.014349981741438917,0.028125964213220275,0.46122086498618786
kast,2025-12-06,0.41404580152671755,0.1952499527270866,131,0.017059067576053143,0.03343577244906416,0.4240932132633588
kast,2025-12-08,0.40380952380952384,0.15268255576166534,42,0.02355942983479886,0.04617648247620576,0.4089276626681207
kast,2025-12-10,0.4298611111111111,0.19226940741626267,198,0.013663991798138639,0.026781423924351733,0.41683531746031743
kast,2025-12-12,0.43375,0.1906878387623391,136,0.016351347275812004,0.03204864066059153,0.43180555555555555
kast,2025-12-14,0.4362958333333333,0.18352096601931614,360,0.00967240418359006,0.01895791219983652,0.4350229166666667
kast,2025-12-16,0.46179558011049726,0.20210855768983946,181,0.015022610783731538,0.029444317136113816,0.4490457067219153
kast,2025-12-18,0.4407241379310345,0.19182441815218756,145,0.015930150853112883,0.03122309567210125,0.4512598590207659
kast,2025-12-20,0.539407894736842,0.1860565467395256,38,0.030182357422767987,0.05915742054862525,0.49006601633393826
