candidato,semana,emocion_final,proporcion,emocion_lab
kast,2025-10-13,desprecio,0.29411764705882354,Desprecio
kast,2025-10-13,esperanza,0.025210084033613446,Esperanza
kast,2025-10-13,indignacion,0.2184873949579832,Indignación
kast,2025-10-13,ira,0.008403361344537815,Ira
kast,2025-10-13,ironia,0.23529411764705882,Ironía
kast,2025-10-13,miedo,0.04201680672268908,Miedo
kast,2025-10-13,ninguna,0.17647058823529413,Ninguna
kast,2025-10-20,desprecio,0.3377777777777778,Desprecio
kast,2025-10-20,esperanza,0.017777777777777778,Esperanza
kast,2025-10-20,indignacion,0.28,Indignación
kast,2025-10-20,ira,0.013333333333333334,Ira
kast,2025-10-20,ironia,0.13777777777777778,Ironía
kast,2025-10-20,miedo,0.06666666666666667,Miedo
kast,2025-10-20,ninguna,0.14222222222222222,Ninguna
kast,2025-10-27,desprecio,0.23648648648648649,Desprecio
kast,2025-10-27,esperanza,0.006756756756756757,Esperanza
kast,2025-10-27,indignacion,0.2905405405405405,Indignación
kast,2025-10-27,ira,0.02027027027027027,Ira
kast,2025-10-27,ironia,0.16216216216216217,Ironía
kast,2025-10-27,miedo,0.05405405405405406,Miedo
kast,2025-10-27,ninguna,0.20945945945945946,Ninguna
kast,2025-11-03,desprecio,0.3618421052631579,Desprecio
kast,2025-11-03,esperanza,0.006578947368421052,Esperanza
kast,2025-11-03,indignacion,0.17763157894736842,Indignación
kast,2025-11-03,ira,0.03289473684210526,Ira
kast,2025-11-03,ironia,0.15789473684210525,Ironía
kast,2025-11-03,miedo,0.05263157894736842,Miedo
kast,2025-11-03,ninguna,0.21052631578947367,Ninguna
kast,2025-11-10,desprecio,0.28640776699029125,Desprecio
kast,2025-11-10,esperanza,0.038834951456310676,Esperanza
kast,2025-11-10,indignacion,0.20631067961165048,Indignación
kast,2025-11-10,ira,0.019417475728155338,Ira
kast,2025-11-10,ironia,0.14320388349514562,Ironía
kast,2025-11-10,miedo,0.10679611650485436,Miedo
kast,2025-11-10,ninguna,0.18932038834951456,Ninguna
kast,2025-11-17,desprecio,0.28199052132701424,Desprecio
kast,2025-11-17,esperanza,0.017772511848341232,Esperanza
kast,2025-11-17,indignacion,0.2571090047393365,Indignación
kast,2025-11-17,ira,0.024881516587677725,Ira
kast,2025-11-17,ironia,0.1623222748815166,Ironía
kast,2025-11-17,miedo,0.06516587677725119,Miedo
kast,2025-11-17,ninguna,0.1848341232227488,Ninguna
kast,2025-11-24,desprecio,0.3225225225225225,Desprecio
kast,2025-11-24,esperanza,0.005405405405405406,Esperanza
kast,2025-11-24,indignacion,0.21981981981981982,Indignación
kast,2025-11-24,ira,0.012612612612612612,Ira
kast,2025-11-24,ironia,0.209009009009009,Ironía
kast,2025-11-24,miedo,0.055855855855855854,Miedo
kast,2025-11-24,ninguna,0.16936936936936936,Ninguna
kast,2025-12-01,desprecio,0.2849264705882353,Desprecio
kast,2025-12-01,esperanza,0.01838235294117647,Esperanza
kast,2025-12-01,indignacion,0.2536764705882353,Indignación
kast,2025-12-01,ira,0.01838235294117647,Ira
kast,2025-12-01,ironia,0.2113970588235294,Ironía
kast,2025-12-01,miedo,0.07169117647058823,Miedo
kast,2025-12-01,ninguna,0.13970588235294118,Ninguna
kast,2025-12-08,desprecio,0.23117338003502627,Desprecio
kast,2025-12-08,esperanza,0.017513134851138354,Esperanza
kast,2025-12-08,indignacion,0.2381786339754816,Indignación
kast,2025-12-08,ira,0.01576182136602452,Ira
kast,2025-12-08,ironia,0.23117338003502627,Ironía
kast,2025-12-08,miedo,0.05779334500875657,Miedo
kast,2025-12-08,ninguna,0.20140105078809106,Ninguna
kast,2025-12-15,desprecio,0.2570888468809074,Desprecio
kast,2025-12-15,esperanza,0.017013232514177693,Esperanza
kast,2025-12-15,indignacion,0.2892249527410208,Indignación
kast,2025-12-15,ira,0.020793950850661626,Ira
kast,2025-12-15,ironia,0.18714555765595464,Ironía
kast,2025-12-15,miedo,0.052930056710775046,Miedo
kast,2025-12-15,ninguna,0.16257088846880907,Ninguna
kast,2025-12-22,desprecio,0.27559055118110237,Desprecio
kast,2025-12-22,indignacion,0.27559055118110237,Indignación
kast,2025-12-22,ira,0.015748031496062992,Ira
kast,2025-12-22,ironia,0.2283464566929134,Ironía
kast,2025-12-22,miedo,0.023622047244094488,Miedo
kast,2025-12-22,ninguna,0.1732283464566929,Ninguna
kast,2025-12-29,desprecio,0.08333333333333333,Desprecio
kast,2025-12-29,indignacion,0.4166666666666667,Indignación
kast,2025-12-29,ironia,0.3333333333333333,Ironía
kast,2025-12-29,ninguna,0.16666666666666666,Ninguna
kast,2026-01-12,desprecio,0.15384615384615385,Desprecio
kast,2026-01-12,indignacion,0.3076923076923077,Indignación
kast,2026-01-12,ironia,0.15384615384615385,Ironía
kast,2026-01-12,miedo,0.07692307692307693,Miedo
kast,2026-01-12,ninguna,0.3076923076923077,Ninguna
kast,2026-01-19,desprecio,0.24561403508771928,Desprecio
kast,2026-01-19,esperanza,0.03508771929824561,Esperanza
kast,2026-01-19,indignacion,0.2631578947368421,Indignación
kast,2026-01-19,ironia,0.2631578947368421,Ironía
kast,2026-01-19,miedo,0.017543859649122806,Miedo
kast,2026-01-19,ninguna,0.17543859649122806,Ninguna
matthei,2025-08-04,desprecio,0.3125,Desprecio
matthei,2025-08-04,indignacion,0.1875,Indignación
matthei,2025-08-04,ironia,0.125,Ironía
matthei,2025-08-04,miedo,0.0625,Miedo
matthei,2025-08-04,ninguna,0.3125,Ninguna
matthei,2025-08-18,desprecio,0.2,Desprecio
matthei,2025-08-18,indignacion,0.4,Indignación
matthei,2025-08-18,ironia,0.2,Ironía
matthei,2025-08-18,ninguna,0.2,Ninguna
matthei,2025-08-25,desprecio,0.3333333333333333,Desprecio
matthei,2025-08-25,indignacion,0.25,Indignación
matthei,2025-08-25,ironia,0.08333333333333333,Ironía
matthei,2025-08-25,ninguna,0.3333333333333333,Ninguna
matthei,2025-09-01,desprecio,0.2903225806451613,Desprecio
matthei,2025-09-01,indignacion,0.3548387096774194,Indignación
matthei,2025-09-01,ironia,0.16129032258064516,Ironía
matthei,2025-09-01,miedo,0.03225806451612903,Miedo
matthei,2025-09-01,ninguna,0.16129032258064516,Ninguna
matthei,2025-09-08,desprecio,0.3225806451612903,Desprecio
matthei,2025-09-08,esperanza,0.0967741935483871,Esperanza
