n_comentarios,polarizacion_media,pct_negativo,author_hash,emocion_dominante,candidato_mas_frecuente,candidato_principal,tipo_autor
4,0.375,0.75,u_25ace796a040fea9,miedo,kast,kast,recurrente
1,0.25,0.0,u_bb4a3196b656dff8,ninguna,kast,kast,esporadico
3,0.45,1.0,u_51ec2f4e57fae220,desprecio,jara,empate,recurrente
1,0.65,1.0,u_a223fe18588feb0f,indignacion,jara,jara,esporadico
5,0.31,0.4,u_9df141a7c4c027c1,indignacion,kaiser,kast,recurrente
1,0.5,0.0,u_e50e7af74b3ee1ec,desprecio,kaiser,kaiser,esporadico
3,0.6,1.0,u_c0048c130ac690fa,indignacion,kast,kast,recurrente
34,0.4720588235294118,0.6764705882352942,u_8ae51756b13e7c02,desprecio,kast,kast,hiperactivo
2,0.45,1.0,u_d7fbc0c7ac55e7b8,desprecio,jara,jara,recurrente
1,0.25,0.0,u_ae83a4ff91267e02,ninguna,"kast, matthei",empate,esporadico
2,0.125,0.0,u_b2478a3d25937791,ironia,kast,kast,recurrente
1,0.65,1.0,u_49e6cefaceb45dac,indignacion,jara,jara,esporadico
2,0.275,0.5,u_ee88f0c299b531db,alegria,kast,kast,recurrente
3,0.35000000000000003,0.3333333333333333,u_7682d0bc23127059,desprecio,jara,kast,recurrente
1,0.35,1.0,u_c23978de13c5f61e,indignacion,kast,kast,esporadico
1,0.3,1.0,u_ad3158389bbcb4bf,indignacion,"kast, kaiser",empate,esporadico
1,0.5,1.0,u_20683b664aed31f7,indignacion,kast,kast,esporadico
1,0.45,1.0,u_10dcab27a017e6e5,miedo,kast,kast,esporadico
1,0.1,0.0,u_fcce056b66276291,ninguna,jara,jara,esporadico
10,0.36,0.6,u_8bb8134871ec804b,desprecio,jara,kast,activo
3,0.45,1.0,u_065a123e1df550a5,desprecio,kast,kast,recurrente
1,0.2,1.0,u_b1e5a7ec4a387753,desprecio,"kast, kaiser, jara",empate,esporadico
2,0.275,0.5,u_6f025f8d178e1896,desprecio,kast,kast,recurrente
5,0.48,1.0,u_d66a645378cd8888,ninguna,jara,empate,recurrente
1,0.3,0.0,u_cd29345e91bc54cc,ninguna,kast,kast,esporadico
2,0.525,1.0,u_040500d9c1beac2e,indignacion,kast,kast,recurrente
1,0.4,1.0,u_60d6d61f58c9c88b,ninguna,kaiser,kaiser,esporadico
1,0.3,1.0,u_7fe660036f4babd8,desprecio,jara,jara,esporadico
2,0.35,0.5,u_e15e8ce4e8a84794,indignacion,kast,empate,recurrente
1,0.65,0.0,u_3f18a23c77b10379,ira,kaiser,kaiser,esporadico
