dia,n,prob_neg,prob_pos,pol_mean,candidato
2025-10-30,32,0.75,0.0625,0.3765625,kast
2025-10-31,16,0.5625,0.0,0.378125,kast
2025-11-01,12,0.5833333333333334,0.0,0.3202083333333334,kast
2025-11-02,11,1.0,0.0,0.5700000000000001,kast
2025-11-03,39,0.7435897435897436,0.05128205128205128,0.45717948717948714,kast
2025-11-04,4,0.75,0.0,0.5025,kast
2025-11-05,13,0.7692307692307693,0.0,0.2776923076923077,kast
2025-11-06,38,0.6052631578947368,0.10526315789473684,0.3422368421052632,kast
2025-11-07,29,0.8275862068965517,0.0,0.45896551724137935,kast
2025-11-08,19,0.5789473684210527,0.05263157894736842,0.420921052631579,kast
2025-11-09,10,1.0,0.0,0.5589999999999999,kast
2025-11-10,24,0.7916666666666666,0.0,0.40604166666666663,kast
2025-11-11,38,0.7894736842105263,0.02631578947368421,0.4980263157894737,kast
2025-11-12,53,0.7169811320754716,0.018867924528301886,0.38292452830188684,kast
2025-11-13,40,0.825,0.025,0.4319375,kast
2025-11-14,33,0.696969696969697,0.0,0.3465909090909091,kast
2025-11-15,7,0.5714285714285714,0.2857142857142857,0.38571428571428573,kast
2025-11-16,217,0.5944700460829493,0.10138248847926268,0.40743087557603686,kast
2025-11-17,180,0.6777777777777778,0.03888888888888889,0.4060277777777778,kast
2025-11-18,124,0.6774193548387096,0.04032258064516129,0.4220766129032258,kast
2025-11-19,215,0.6930232558139535,0.037209302325581395,0.4243023255813953,kast
2025-11-20,84,0.75,0.047619047619047616,0.4558035714285714,kast
2025-11-21,98,0.5714285714285714,0.05102040816326531,0.4052040816326531,kast
2025-11-22,62,0.7096774193548387,0.04838709677419355,0.4584274193548387,kast
2025-11-23,81,0.5802469135802469,0.06172839506172839,0.4230864197530865,kast
2025-11-24,62,0.6451612903225806,0.08064516129032258,0.4356048387096774,kast
2025-11-25,94,0.723404255319149,0.05319148936170213,0.4429521276595745,kast
2025-11-26,209,0.7607655502392344,0.0430622009569378,0.4524282296650718,kast
2025-11-27,76,0.75,0.013157894736842105,0.34174342105263156,kast
2025-11-28,70,0.7571428571428571,0.014285714285714285,0.39525,kast
2025-11-29,9,0.5555555555555556,0.1111111111111111,0.3775,kast
2025-11-30,35,0.8571428571428571,0.0,0.4318571428571429,kast
2025-12-01,40,0.675,0.0,0.4465,kast
2025-12-02,52,0.75,0.019230769230769232,0.4825,kast
2025-12-03,129,0.7209302325581395,0.06201550387596899,0.4906395348837209,kast
2025-12-04,105,0.6285714285714286,0.0380952380952381,0.3835,kast
2025-12-05,87,0.6436781609195402,0.04597701149425287,0.49525862068965515,kast
2025-12-06,110,0.7454545454545455,0.045454545454545456,0.44772727272727275,kast
2025-12-07,21,0.8095238095238095,0.0,0.23761904761904762,kast
2025-12-08,13,0.6923076923076923,0.0,0.4153846153846154,kast
2025-12-09,29,0.7586206896551724,0.0,0.39862068965517244,kast
2025-12-10,105,0.6571428571428571,0.05714285714285714,0.4392619047619048,kast
