document,chars,sents,tokens,types,puncts,numbers,symbols,urls,tags,emojis
text1136,NA,NA,12,12,0,0,0,0,0,0
text1137,NA,NA,11,11,0,0,0,0,0,0
text1138,NA,NA,9,9,0,0,0,0,0,0
text1139,NA,NA,13,13,0,0,0,0,0,0
text1140,NA,NA,8,8,0,0,0,0,0,0
text1141,NA,NA,20,18,0,0,0,0,0,0
text1142,NA,NA,4,4,0,0,0,0,0,0
text1143,NA,NA,11,11,0,0,0,0,0,0
text1144,NA,NA,9,9,0,0,0,0,0,0
text1145,NA,NA,3,3,0,0,0,0,0,0
text1146,NA,NA,9,9,0,0,0,0,0,0
text1147,NA,NA,10,9,0,0,0,0,0,0
text1148,NA,NA,12,12,0,0,0,0,0,0
text1149,NA,NA,107,90,0,0,0,0,0,0
text1150,NA,NA,10,10,0,0,0,0,0,0
text1151,NA,NA,10,9,0,0,0,0,0,0
text1152,NA,NA,4,4,0,0,0,0,0,0
text1153,NA,NA,4,4,0,0,0,0,0,0
text1154,NA,NA,16,16,0,0,0,0,0,0
text1155,NA,NA,10,10,0,0,0,0,0,0
text1156,NA,NA,6,6,0,0,0,0,0,0
text1157,NA,NA,21,17,0,0,0,0,0,0
text1158,NA,NA,104,73,0,0,0,0,0,0
text1159,NA,NA,20,19,0,0,0,0,0,0
text1160,NA,NA,15,14,0,0,0,0,0,0
text1161,NA,NA,33,27,0,0,0,0,0,0
text1162,NA,NA,17,15,0,0,0,0,0,0
text1163,NA,NA,8,8,0,0,0,0,0,0
text1164,NA,NA,7,7,0,0,0,0,0,0
text1165,NA,NA,9,9,0,0,0,0,0,0
text1166,NA,NA,5,5,0,0,0,0,0,0
text1167,NA,NA,220,160,0,0,0,0,0,0
text1168,NA,NA,9,9,0,0,0,0,0,0
text1169,NA,NA,10,10,0,0,0,0,0,0
text1170,NA,NA,8,8,0,0,0,0,0,0
text1171,NA,NA,102,90,0,0,0,0,0,0
text1172,NA,NA,8,8,0,0,0,0,0,0
text1173,NA,NA,46,39,0,0,0,0,0,0
text1174,NA,NA,11,11,0,0,0,0,0,0
text1175,NA,NA,13,11,0,0,0,0,0,0
text1176,NA,NA,7,7,0,0,0,0,0,0
text1177,NA,NA,5,4,0,0,0,0,0,0
text1178,NA,NA,7,7,0,0,0,0,0,0
text1179,NA,NA,7,7,0,0,0,0,0,0
text1180,NA,NA,10,10,0,0,0,0,0,0
text1181,NA,NA,17,16,0,0,0,0,0,0
text1182,NA,NA,13,12,0,0,0,0,0,0
text1183,NA,NA,8,8,0,0,0,0,0,0
text1184,NA,NA,26,26,0,0,0,0,0,0
text1185,NA,NA,5,5,0,0,0,0,0,0
text1186,NA,NA,7,7,0,0,0,0,0,0
